Taxon,CopyNumber
Mesorhizobium opportunistum,2
Pseudodesulfovibrio aespoeensis,1
Candidatus Frankia datiscae,1
Methanothermococcus okinawensis,1
Methylovorus sp. MP688,1
Mycoplasma leachii,1
Calditerrivibrio nitroreducens,1
Marivirga tractuosa,1
Oceanithermus profundus,1
Mycolicibacterium gilvum,1
Intrasporangium calvum,2
Thermaerobacter marianensis,1
Variovorax paradoxus,4
Mesorhizobium ciceri,3
Nitratifractor salsuginis,1
Desulfobulbus propionicus,1
Pseudodesulfovibrio mercurii,1
Desulfurobacterium thermolithotrophum,1
Methanobacterium lacus,1
Xanthomonas perforans,2
Polymorphum gilvum,1
Hippea maritima,1
Fluviicola taffensis,1
Coriobacterium glomerans,1
Parasynechococcus marenigrum,1
Croceibacter atlanticus,1
Bartonella tribocorum,2
Mobiluncus curtisii,3
Methanohalobium evestigatum,1
Anaerolinea thermophila,1
Helicobacter felis,1
Microbacterium testaceum,1
Acidiphilium multivorum,2
Methanothrix soehngenii,1
Pusillimonas sp. T7-7,1
Halobacteriovorax marinus,2
Lacinutrix sp. 5H-3-7-4,1
Porphyromonas asaccharolytica,1
Thermodesulfobium narugense,1
Cellulomonas fimi,2
Haliscomenobacter hydrossis,1
Tepidanaerobacter acetatoxydans,2
Hydrogenobaculum sp. 3684,1
Acidithiobacillus ferrivorans,2
Mycolicibacter sinensis,1
Leadbettera azotonutricia,1
Methanotorris igneus,1
Thiomicrospira cyclica,1
Hydrogenobaculum sp. SHO,1
Treponema paraluiscuniculi,1
Thermodesulfatator indicus,1
Cellulomonas gilvus,1
Flexistipes sinusarabici,1
Runella slithyformis,1
Advenella kashmirensis,1
Muricauda ruestringensis,1
Mycoplasma putrefaciens,3
Thiomicrospira aerophila,1
Rhodanobacter denitrificans,8
Mycolicibacterium rhodesiae,1
Mesorhizobium australicum,1
Fervidobacterium pennivorans,3
Thermus sp. CCB_US3_UF1,1
Azospira oryzae,1
Owenweeksia hongkongensis,1
Tannerella forsythia,3
Niabella soli,1
Wigglesworthia glossinidia,1
Methanocella conradii,1
Bartonella clarridgeiae,1
Helicobacter cetorum,2
Sulfurospirillum barnesii,1
Alistipes finegoldii,2
Aequorivita sublithincola,1
Turneriella parva,1
Mycolicibacterium chubuense,1
Acetomicrobium mobile,1
Eggerthella sp. YY7918,1
Arachnia propionica,6
Xanthomonas vasicola,6
Caldilinea aerophila,1
Sphingobium sp. SYK-6,1
Helicobacter cinaedi,11
Sulfuricella denitrificans,1
Leptospirillum ferriphilum,2
Alcanivorax pacificus,1
Alcanivorax dieselolei,1
Bifidobacterium asteroides,3
Leptospira mayottensis,3
Haloferax mediterranei,2
Thermus oshimai,1
Leptospira santarosai,1
Cyanobium gracile,1
Leptolyngbya sp. PCC 7376,1
Pseudanabaena sp. PCC 7367,1
Synechococcus sp. PCC 7502,1
Mycolicibacterium neoaurum,3
Oscillatoria nigro-viridis,1
Gloeocapsa sp. PCC 7428,1
Stanieria cyanosphaera,1
Thioflavicoccus mobilis,1
Mycoplasma feriruminatoris,1
Halovivax ruber,1
Mycobacterium sp. JS623,1
Methanomethylovorans hollandica,1
Nonlabens dokdonensis,1
Bartonella australis,1
Bartonella vinsonii,2
Hydrogenobaculum sp. HO,1
Bradyrhizobium oligotrophicum,1
Sphingomonas sp. MM-1,1
Xanthomonas axonopodis,3
Hydrogenobaculum sp. SN,1
Ilumatobacter coccineus,1
Treponema pedis,3
Candidatus Symbiobacter mobilis,1
Synechocystis sp. PCC 6714,1
Streptococcus ilei,2
Salinispira pacifica,1
Mycoplasma ovis,1
Magnetospirillum gryphiswaldense,3
Halostagnicola larsenii,1
Advenella mimigardefordensis,1
Gemmatirosa kalamazoonesis,1
Spiroplasma sabaudiense,1
Roseibacterium elongatum,1
Castellaniella defragrans,1
Draconibacterium orientale,1
Brevundimonas naejangsanensis,3
Neochlamydia sp. S13,1
Gemmatimonas phototrophica,1
Mycoplasmopsis californica,7
Mesorhizobium huakuii,2
Fimbriimonas ginsengisoli,1
Dyella japonica,1
Palaeococcus pacificus,1
Sandaracinus amylolyticus,2
Synechococcus sp. KORDI-49,1
Planktomarina temperata,1
Methanocaldococcus bathoardescens,1
Candidatus Paracaedibacter acanthamoebae,1
Treponema putidum,1
Methanobacterium formicicum,2
Sphingomonas taxi,1
Fervidobacterium islandicum,1
Treponema sp. OMZ 838,1
Pimelobacter simplex,1
Hymenobacter sp. DG25B,1
Berryella intestinalis,1
Xanthomonas sacchari,1
Celeribacter indicus,1
Methanothermobacter sp. CaT2,1
Sulfuritalea hydrogenivorans,1
Winogradskyella sp. PG-2,1
Metamycoplasma canadense,1
Serpentinimonas raichei,1
Serpentinimonas maccroryi,1
cyanobacterium endosymbiont of Epithemia turgida,1
Rathayibacter toxicus,4
Mycoplasma yeatsii,1
Rugosibacter aromaticivorans,1
Psychromicrobium lacuslunae,1
Candidatus Methylopumilus turicensis,1
Ralstonia mannitolilytica,2
Muricauda lutaonensis,1
Alteracholeplasma palmae,1
Magnetospira sp. QH-2,1
Zobellia galactanivorans,1
Kangiella geojedonensis,1
Sedimenticola thiotaurini,1
Croceibacterium atlanticum,1
Spongiibacter sp. IMCC21906,1
Pandoraea thiooxydans,2
Mycobacterium sp. EPa45,1
Xanthomonas translucens,31
Kosmotoga pacifica,1
Parascardovia denticolens,1
Scardovia inopinata,1
Rufibacter radiotolerans,1
Methylophilus sp. TWE2,1
'''Leptospirillum sp. Group II ''''CF-1''''''',1
Olsenella sp. oral taxon 807,1
Arsenicicoccus sp. oral taxon 190,1
Luteipulveratus mongoliensis,1
Bifidobacterium actinocoloniiforme,1
Microbacterium sp. CGR1,1
Herbaspirillum hiltneri,1
Chelatococcus sp. CO-6,1
Desulfuromonas soudanensis,1
Hymenobacter sp. DG25A,1
Bartonella ancashensis,1
Lawsonella clevelandensis,2
Beggiatoa leptomitoformis,2
Actibacterium sp. EMB200-NS6,1
Mycolicibacterium fortuitum,2
Celeribacter marinus,1
Algibacter alginicilyticus,1
Brevundimonas sp. DS20,1
Microbacterium sp. No. 7,1
Thermus aquaticus,1
Devosia sp. A16,1
Limnohabitans sp. 103DPR2,1
Caulobacter henricii,1
Lysobacter capsici,4
Lysobacter gummosus,2
Pseudohongiella spirulinae,1
Intestinimonas butyriciproducens,2
Sphingobium baderi,1
Helicobacter typhlonius,1
Methanobrevibacter millerae,1
Aeromicrobium erythreum,1
Magnetospirillum sp. XM-1,1
Microbacterium sp. XT11,1
Synechococcus sp. PCC 73109,1
Thermus parvatiensis,1
Lutibacter profundi,1
Limnochorda pilosa,1
Methanobrevibacter sp. YE315,1
Desulfomicrobium orale,1
Microbacterium sp. PAMC 28756,1
Methanobrevibacter olleyae,1
Sphingobium sp. MI1205,1
Variovorax sp. PAMC 28711,1
Frondihabitans sp. PAMC 28766,1
'''endosymbiont ''''TC1'''' of Trimyema compressum''',1
Sphingorhabdus sp. M41,1
Helicobacter himalayensis,1
Mycobacteroides immunogenum,2
Planctomyces sp. SH-PL14,1
Desulfuromonas sp. DDH964,1
Frigidibacter mobilis,1
Dokdonella koreensis,1
Ectothiorhodospira sp. BSL-9,1
Brevundimonas sp. GW460-12-10-14-LB2,1
Sphingomonas sp. NIC1,1
Rathayibacter tritici,1
Dyella thiooxydans,1
Mycobacterium sp. YC-RL4,1
Microbacterium chocolatum,1
Mitsuaria sp. 7,1
Niabella ginsenosidivorans,1
Mycolicibacterium vaccae,1
Sphingobium sp. EP60837,1
Dietzia timorensis,1
Croceicoccus marinus,2
Erythrobacter neustonensis,1
Halothiobacillus sp. LS2,1
Mesorhizobium sp. AA22,1
Mesorhizobium sp. WSM1497,1
Serinicoccus hydrothermalis,1
Mesorhizobium amorphae,1
Prosthecochloris sp. CIB 2401,1
Synechococcus sp. PCC 7003,1
Synechococcus sp. PCC 7117,1
Synechococcus sp. PCC 8807,1
Helicobacter enhydrae,1
Xanthomonas fragariae,7
Kangiella sediminilitoris,1
Maize bushy stunt phytoplasma,1
Methyloversatilis sp. RAC08,1
Hydrogenophaga sp. RAC07,1
Blastomonas sp. RAC04,1
Bosea sp. RAC05,1
Tannerella serpentiformis,1
Sulfurospirillum halorespirans,1
Leptospira tipperaryensis,1
Formosa sp. Hel3_A1_48,1
Formosa sp. Hel1_33_131,1
Bosea vaviloviae,1
Chlorobaculum limnaeum,1
Urechidicola croceus,1
Sphingomonas melonis,2
Hydrogenophaga crassostreae,1
Moorena producens,1
Maribacter sp. 1_2014MBL_MicDiv,1
Candidatus Nitrosocosmicus hydrocola,1
Thermus brockianus,2
Synechococcus sp. SynAce01,1
Mycobacterium sp. WY10,1
Sulfitobacter alexandrii,1
Chelatococcus daeguensis,1
Microbacterium paludicola,1
Luteibacter rhizovicinus,1
Sphingorhabdus lutea,1
Janibacter indicus,2
Microbacterium sp. 1.5R,1
Aquibium oceanicum,1
Tardibacter chloracetimidivorans,1
Mycoplasmopsis pullorum,1
Xanthomonas vesicatoria,2
Xanthomonas hortorum,7
Sphingomonas koreensis,1
Rhodoferax saidenbachensis,1
Haloterrigena daqingensis,1
Winogradskyella sp. J14-2,1
Lacinutrix venerupis,1
Seonamhaeicola sp. S2-3,1
Salipiger abyssi,1
Microbacterium oleivorans,2
Fuerstiella marisgermanici,1
Halioglobus japonicus,1
Halorientalis sp. IM1011,1
Tessaracoccus flavus,1
Tessaracoccus flavescens,1
Limihaloglobus sulfuriphilus,1
Helicobacter bilis,1
Brevundimonas sp. LM2,1
Sphingomonas sp. LM7,1
Bartonella apis,3
Micrococcus sp. KBS0714,1
Tessaracoccus sp. T2.5-30,1
Bartonella sp. A1379B,1
Bartonella sp. WD16.2,1
Bartonella sp. JB15,1
Bartonella sp. JB63,1
Halolamina sp. CBA1230,1
Martelella mediterranea,1
Alcanivorax xenomutans,1
Frondihabitans sp. 762G35,1
Halomicronema hongdechloris,1
Roseovarius mucosus,1
Sphingobium herbicidovorans,1
Cnuibacter physcomitrellae,1
Campylobacter cuniculorum,2
Magnetospirillum sp. ME-1,1
Paracoccus contaminans,1
Prosthecochloris sp. HL-130-GSB,1
Oceanicoccus sagamiensis,1
Candidatus Nucleicultrix amoebiphila,1
Methylocystis bryophila,1
Sphingomonas sp. KC8,1
Natrarchaeobaculum aegyptiacum,1
Yoonia vestfoldensis,1
Cellvibrio sp. PSBB006,1
Spiroplasma clarkii,2
Brevundimonas vesicularis,1
Sphingorhabdus sp. SMR4y,1
Bosea sp. AS-1,1
Pseudosulfitobacter pseudonitzschiae,43
Vitreoscilla filiformis,1
Antarctobacter heliothermus,1
Campylobacter avium,1
Prosthecochloris sp. GSB1,1
Cellulomonas sp. PSBB021,1
Maribacter cobaltidurans,1
Mesoplasma chauliocola,1
Variovorax boronicumulans,1
Luteimonas chenhongjianii,1
Mycobacterium sp. PYR15,1
Rhizorhabdus dicambivorans,1
Mucilaginibacter gotjawali,1
Stanieria sp. NIES-3757,1
Halopenitus persicus,1
Halorubrum trapanicum,1
Sphingobium cloacae,1
Candidatus Desulfovibrio trichonymphae,1
Lysobacter enzymogenes,4
Mycoplasmopsis bovigenitalium,2
Candidatus Nitrosoglobus terrae,1
Microbacterium sp. TPU 3598,1
Synechococcus sp. NIES-970,1
Halorhodospira halochloris,1
Cycloclasticus sp. PY97N,1
Pacificitalea manganoxidans,1
Caulobacter sp. FWC26,1
Caulobacter mirabilis,1
Mesoplasma entomophilum,2
Xanthomonas phaseoli,12
Sphingorhabdus sp. YGSMI21,1
Mariprofundus aestuarium,1
Sphingomonas psychrotolerans,1
Mesoplasma tabanidae,1
Entomoplasma melaleucae,1
Entomoplasma freundtii,1
Mesoplasma coleopterae,1
Bartonella sp. 1-1C,1
Methanobacterium subterraneum,2
Methanobacterium sp. MZ-A1,1
Candidatus Thiodictyon syntrophicum,1
Sagittula sp. P11,1
Lacinutrix sp. Bg11-31,1
Kangiella profundi,1
Mesoplasma syrphidae,1
Haloarcula taiwanensis,1
Paracoccus tegillarcae,1
Paracoccus zhejiangensis,1
Paracoccus jeotgali,1
Tsukamurella tyrosinosolvens,2
Bacteriovorax stolpii,2
Flavivirga eckloniae,1
Salinigranum rubrum,1
Devosia sp. I507,1
Desulfobulbus oralis,1
Halalkaliarchaeum desulfuricum,1
Pukyongia salina,1
'''Microbacterium sp. str. ''''China''''''',1
Fastidiosipila sanguinis,1
Mogibacterium diversum,1
Mesoflavibacter sp. HG96,1
Mesoflavibacter sp. HG37,1
Phreatobacter cathodiphilus,1
Ottowia oryzae,1
Ahniella affigens,1
Synechocystis sp. IPPAS B-1465,1
Microcystis sp. MC19,1
Dietzia sp. JS16-p6b,1
Thermodesulfobium acidiphilum,1
Aminobacter sp. MSH1,2
Salinibacterium hongtaonis,1
Aeromicrobium chenweiae,1
Agromyces badenianii,1
Fuscovulum blasticum,1
Actinobaculum sp. 313,1
Miniimonas sp. S16,1
Leptospira kobayashii,1
Salinisphaera sp. LB1,1
Auritidibacter sp. NML130574,1
Lysobacter maris,1
Arcticibacterium luteifluviistationis,1
Methanosphaera sp. BMS,1
Muricauda aurantiaca,1
Metamycoplasma anseris,1
Mycoplasmopsis anatis,2
Roseovarius sp. TM1035,1
Nitratireductor sp. OM-1,1
Paracoccus suum,1
Haloplanus rubicundus,2
Euzebya pacifica,1
Ornithinimicrobium avium,1
Methanofervidicoccus sp. A16,1
Xylella taiwanensis,19
Sphingomonas sp. FARSPH,1
Erythrobacter aureus,1
Spiroplasma alleghenense,1
Lysobacter sp. TY2-98,1
Microbacterium foliorum,2
Metamycoplasma phocicerebrale,1
Austwickia chelonae,1
Thermaerobacter sp. PB12/4term,1
Mariniflexile sp. TRM1-10,1
Solimonas sp. K1W22B-7,1
Blastomonas fulva,1
Breoghania sp. L-A4,1
Maritalea myrionectae,1
Aeromicrobium sp. A1-2,1
Leptospira borgpetersenii,9
Profundibacter amoris,1
Paraflavitalea soli,1
Meiothermus taiwanensis,1
Altererythrobacter sp. B11,1
cyanobacterium endosymbiont of Rhopalodia gibberula,1
Methylocaldum marinum,1
Chryseolinea soli,1
Arachidicoccus soli,1
Bartonella kosoyi,1
Bartonella krasnovii,15
Halobacteriovorax sp. BALOs_7,1
Gryllotalpicola protaetiae,1
Christensenella minuta,1
Candidatus Phytoplasma ziziphi,2
Sphingomonas paeninsulae,1
Euzebyella marina,1
Georgenia faecalis,1
Janibacter melonis,1
Halarchaeum sp. CBA1220,1
Halorubrum sp. CBA1229,1
Leptospira kmetyi,1
Propionibacterium acidifaciens,1
Pigmentiphaga sp. H8,1
Gordonia insulae,1
Microbacterium sp. Y-01,1
Haloplanus aerogenes,1
Plantibacter sp. PA-3-X8,1
Caenibius tardaugens,1
Chryseobacterium taklimakanense,3
Kaistella daneshvariae,1
Cloacibacterium normanense,1
Tabrizicola piscis,1
Microcystis viridis,1
Nocardioides baekrokdamisoli,1
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1,1
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1,1
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1,1
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1,1
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1,1
Bosea sp. Tri-49,1
Georhizobium profundi,1
Nonlabens ponticola,1
Acidithiobacillus ferridurans,1
Blastochloris tepida,1
Candidatus Rickettsiella viridis,1
Mycoavidus cysteinexigens,1
Aerosticca soli,1
Sphingobium amiense,1
Sulfuritortus calidifontis,1
Maribacter sp. MJ134,1
Halorubrum sp. PV6,1
Microbacterium oxydans,2
Microbacterium lemovicicum,1
Xanthomonas sp. ISO98C4,1
Sulfurivermis fontis,1
Agromyces sp. LHK192,1
Oenococcus sp. UCMA 16435,1
Rathayibacter rathayi,1
Rathayibacter iranicus,1
Rathayibacter festucae,2
Aequorivita sp. H23M31,1
Pusillimonas thiosulfatoxidans,1
Leucobacter muris,1
Geovibrio thiophilus,1
Oenococcus sicerae,1
Brevundimonas diminuta,3
Dyella sp. M7H15-1,1
Salinibacterium sp. UTAS2018,1
Luteimonas sp. YGD11-2,1
Halorubrum ezzemoulense,1
Microbacterium protaetiae,1
Mesorhizobium sp. Pch-S,1
Muriicola soli,1
Pseudolysobacter antarcticus,1
Leucobacter triazinivorans,1
Synechococcus sp. WH 8101,2
'''''''Catharanthus roseus'''' aster yellows phytoplasma''',1
Mycoplasmopsis phocirhinis,1
Janibacter limosus,1
endosymbiont of Sipalinus gigas,1
endosymbiont of Pachyrhynchus infernalis,1
Egicoccus halophilus,1
Ornithinimicrobium sp. HY006,1
Stenotrophomonas sp. ASS1,1
Hydrogenophaga pseudoflava,1
Nitrosococcus wardiae,1
Sphingobacterium sp. CZ-2,1
Ornithinimicrobium flavum,1
Microbacterium sediminis,1
Microbacterium wangchenii,1
Nocardioides euryhalodurans,1
Thermaerobacter sp. FW80,1
Nocardioides seonyuensis,1
Thermus caldilimi,1
Hydrogenophaga sp. PAMC20947,1
Halobellus limi,1
Luteimonas yindakuii,1
Campylobacter mucosalis,2
Phreatobacter stygius,1
Novosphingobium sp. EMRT-2,1
Haloprofundus sp. MHR1,1
Brevibacterium sp. CS2,1
Microbacterium sp. RG1,1
Desulfoglaeba alkanexedens,1
Brevundimonas sp. SGAir0440,1
Microbacterium sp. SGAir0570,1
Mycolicibacterium mucogenicum,1
Luteithermobacter gelatinilyticus,1
Aggregatimonas sangjinii,1
Nocardioides sp. S-1144,1
Sulfitobacter sp. BSw21498,1
Plantibacter sp. M259,1
Aureibaculum algae,1
Agromyces laixinhei,1
Thermomonas aquatica,1
Serinicoccus chungangensis,1
Luteibacter pinisoli,1
Mesorhizobium sp. B4-1-4,1
Mesorhizobium sp. B2-8-5,1
Mesorhizobium sp. B2-1-8,1
Mesorhizobium sp. B2-1-1,1
Nocardioides humi,1
Rhizobium sp. NIBRBAC000502774,1
Alistipes onderdonkii,4
Alistipes communis,2
Alistipes dispar,1
Lysobacter alkalisoli,1
Brevundimonas sp. M20,1
Stella humosa,1
Bdellovibrio sp. NC01,1
Bdellovibrio sp. ZAP7,1
Leptospira weilii,4
Changchengzhania lutea,1
Helicobacter suis,5
Ornithinimicrobium ciconiae,1
Roseimaritima multifibrata,1
Rubripirellula lacrimiformis,1
Gimesia maris,3
Urbifossiella limnaea,1
Maioricimonas rarisocia,1
Symmachiella dynata,1
Gimesia panareensis,2
Bremerella volcania,2
Polystyrenella longa,1
Aureliella helgolandensis,1
Planctopirus ephydatiae,1
Humibacter sp. WJ7-1,1
Euhalothece natronophila,1
Nesterenkonia sp. NBAIMH1,1
Pseudobacter ginsenosidimutans,1
Mucilaginibacter ginsenosidivorans,1
Youhaiella tibetensis,1
Rhodanobacter glycinis,1
Ruania zhangjianzhongii,1
Serinicoccus profundi,1
Salinibacterium sp. dk2585,1
Methanothermobacter sp. KEPCO-1,1
Chitinophaga sp. XS-30,1
Spiroplasma chinense,1
Microbacterium sp. 1S1,1
Mycobacterium grossiae,1
Geobacter sp. FeAm09,1
Serinicoccus marinus,1
Mesorhizobium terrae,1
Microbacterium caowuchunii,1
Microbacterium lushaniae,1
Hypericibacter adhaerens,1
Hypericibacter terrae,1
Nocardioides cynanchi,1
Synechococcus sp. RSCCF101,1
Halorussus halophilus,1
Ornithinimicrobium pratense,1
'''Acidithiobacillus sp. ''''AMD consortium''''''',1
Halomicrobium sp. ZPS1,1
Ancylobacter sp. TS-1,1
Roseivivax sp. THAF197b,1
Roseivivax sp. THAF40,1
Sulfitobacter sp. THAF37,1
Roseivivax sp. THAF30,1
Maribius sp. THAF1,1
Microvirga thermotolerans,1
Halioglobus maricola,1
Brevundimonas sp. Bb-A,1
Anabaena sp. YBS01,1
Alistipes sp. dk3624,1
Aeromicrobium yanjiei,1
Heliorestis convoluta,1
Pseudactinotalea sp. HY158,1
Acidithiobacillus thiooxidans,1
Methylocystis parvus,1
Desulfosarcina alkanivorans,1
Desulfosarcina widdelii,1
Desulfosarcina ovata,2
Haloactinobacterium kanbiaonis,1
Gimesia benthica,1
Desulfuromonas sp. AOP6,1
Guyparkeria halophila,1
Sphingomonas profundi,1
Phnomibacter ginsenosidimutans,1
Dietzia sp. DQ12-45-1b,1
Casimicrobium huifangae,1
Mucilaginibacter ginkgonis,1
Lysobacter soli,1
Diaminobutyricimonas sp. LJ205,1
Permianibacter aggregans,1
Haloplanus rallus,1
Maribellus comscasis,1
Xanthomonas hyacinthi,1
Stappia indica,1
Rathayibacter tanaceti,1
Rathayibacter sp. VKM Ac-2760,1
Rathayibacter sp. VKM Ac-2759,1
Rathayibacter sp. VKM Ac-2801,1
Rathayibacter sp. VKM Ac-2805,1
Hydrogenophaga sp. BPS33,1
Hydrogenophaga sp. PBL-H3,2
Xanthomonas cucurbitae,1
Tichowtungia aerotolerans,1
Aequoribacter fuscus,1
Sphingomonas changnyeongensis,1
Methanothermobacter sp. THM-1,1
Methanothermobacter sp. THM-2,1
Marisediminicola antarctica,1
Chlamydia suis,8
Mycolicibacterium monacense,2
Athalassotoga saccharophila,1
Mycobacterium xenopi,1
Sulfuriferula plumbiphila,1
Fluviibacter phosphoraccumulans,3
Sinimarinibacterium sp. NLF-5-8,1
Mucilaginibacter sp. 14171R-50,1
Cellulomonas sp. H30R-01,1
Treponema vincentii,2
Draconibacterium halophilum,1
Ancylobacter pratisalsi,1
Kineobactrum salinum,1
Mycolicibacterium parafortuitum,1
Mycolicibacterium pulveris,1
Mycolicibacterium tokaiense,1
Mycolicibacterium moriokaense,1
Mycolicibacterium aichiense,1
Mycolicibacterium duvalii,1
Mycolicibacterium fallax,1
Mycolicibacter terrae,2
Mycolicibacterium alvei,1
Mycolicibacterium mageritense,1
Mycolicibacterium chitae,2
Mycobacterium cookii,1
Mycobacterium doricum,1
Mycolicibacterium poriferae,1
Mycobacterium branderi,1
Mycolicibacterium gadium,1
Mycolicibacterium psychrotolerans,1
Mycolicibacter hiberniae,1
Mycolicibacterium madagascariense,1
Mycolicibacterium confluentis,1
Mycolicibacterium phocaicum,2
Mycolicibacterium boenickei,2
Mycolicibacterium insubricum,1
Mycobacterium noviomagense,1
Mycolicibacterium litorale,2
Mycolicibacterium sediminis,1
Mycolicibacter minnesotensis,1
Mycolicibacterium celeriflavum,1
Mycolicibacterium arabiense,1
Mycobacterium koreense,1
Mycolicibacterium anyangense,1
Mycolicibacterium sarraceniae,1
Mycolicibacterium helvum,1
Caulobacter rhizosphaerae,1
Rhizorhabdus phycosphaerae,1
Roseimicrobium sp. ORNL1,1
'''Brevundimonas sp. ''''scallop''''''',1
Microbacterium sp. 4R-513,1
Nordella sp. HKS 07,1
Microbacterium amylolyticum,1
Microbacterium endophyticum,1
Brevundimonas mediterranea,1
Muricauda oceani,1
Bradyrhizobium sp. 323S2,1
Pontibrevibacter nitratireducens,1
Leucobacter viscericola,1
Nocardioides sp. HDW12B,1
Nocardioides piscis,1
Thermomonas sp. HDW16,1
Leucobacter insecticola,1
Leucobacter coleopterorum,1
Hydrogenophaga sp. BA0156,1
Propioniciclava coleopterorum,1
Brevibacterium luteolum,1
Bradyrhizobium sp. 1S5,1
Microbacterium fandaimingii,1
Microbacterium chengjingii,1
Salinibacterium sp. ZJ70,1
Salinibacterium sp. ZJ450,1
Bosea sp. ANAM02,1
Phytohabitans flavus,1
Phytohabitans suffuscus,1
Sulfurimicrobium lacus,1
Sulfurospirillum sp. ACSTCE,1
Nocardioides sp. JQ2195,1
Leifsonia sp. PS1209,1
Microcella flavibacter,1
Enterobacteriaceae endosymbiont of Plateumaris pusilla,1
Enterobacteriaceae endosymbiont of Macroplea mutica,1
Paracoccus sanguinis,1
Methylococcus geothermalis,1
Campylobacter sp. CFSAN093227,1
Luteolibacter luteus,1
Mycoplasma phocoenae,1
Starkeya sp. ORNL1,1
Usitatibacter rugosus,1
Usitatibacter palustris,1
Limnobacter sp. SAORIC-580,1
Gemmatimonas groenlandica,1
Mycoplasma miroungigenitalium,1
Mycoplasma miroungirhinis,1
Oceanidesulfovibrio marinus,1
Herbiconiux sp. SALV-R1,1
Sphingomonas sp. AP4-R1,1
Frigoriglobus tundricola,1
Pseudonocardia broussonetiae,1
Candidatus Nitrotoga sp. AM1P,1
Mesorhizobium erdmanii,1
Mesorhizobium sp. NZP2077,2
Mesorhizobium sp. NZP2234,1
Mesorhizobium jarvisii,1
Mesorhizobium sp. NZP2298,1
Thermoleptolyngbya sichuanensis,1
Halorubrum salinarum,1
Mucilaginibacter mali,1
Rhodoferax sp. BAB1,1
Sphingomonas sp. CL5.1,1
Sphingomonas sp. HMP6,1
Desulfovibrio sulfodismutans,1
Desulfolutivibrio sulfoxidireducens,2
Methanolobus zinderi,1
Bartonella alsatica,1
Winogradskyella forsetii,3
Winogradskyella schleiferi,1
Natrinema halophilum,1
Halosimplex rubrum,1
Halosimplex pelagicum,1
Candidatus Campylobacter infans,1
Martelella sp. NC18,1
Martelella sp. NC20,1
Nocardioides ungokensis,1
Bdellovibrio sp. KM01,1
Actinotalea sp. JY-7876,1
Aureimonas mangrovi,1
Mycoplasma tullyi,1
Schaalia sp. JY-X169,1
Nocardioides sp. WS12,1
Mumia sp. ZJ1417,1
Nocardioides dongkuii,1
Alistipes indistinctus,1
Microbacterium sp. Se63.02b,1
Pseudoxanthomonas mexicana,4
Teredinibacter haidensis,1
Teredinibacter purpureus,1
Sphingomonas sp. NBWT7,1
Frigoribacterium sp. NBH87,1
Janibacter sp. YB324,1
Mycoavidus sp. B2-EB,1
Pseudonocardia sp. CGMCC 4.1532,1
Bacillus sp. PAMC26568,1
Xanthomonas theicola,1
Xanthomonas sp. GW,1
Xanthomonas sp. SS,1
Xanthomonas sp. SI,1
Aminobacter sp. MDW-2,1
Synechococcus sp. TAK9802,1
Synechococcus sp. SYN20,1
Synechococcus sp. RS9909,1
Synechococcus sp. ROS8604,1
Synechococcus sp. PROS-U-1,1
Synechococcus sp. PROS-9-1,1
Synechococcus sp. PROS-7-1,1
Synechococcus sp. NOUM97013,1
Synechococcus sp. MVIR-18-1,1
Synechococcus sp. MEDNS5,1
Synechococcus sp. M16.1,1
Synechococcus sp. BMK-MC-1,1
Synechococcus sp. BIOS-U3-1,1
Synechococcus sp. A18-25c,1
Synechococcus sp. A15-62,1
Synechococcus sp. A15-60,1
Synechococcus sp. A15-127,1
Constantimarinum furrinae,1
Dyella telluris,1
Pedobacter sp. PAMC26386,1
Variovorax sp. PAMC26660,1
Nakamurella sp. PAMC28650,1
Variovorax sp. PAMC28562,1
Synechococcus sp. MIT S9220,1
Novosphingopyxis iocasae,1
Aeromicrobium sp. zg-629,1
Polaribacter pectinis,1
Thermomonas brevis,1
Nocardioides mesophilus,1
Leucobacter denitrificans,1
Thermomonas carbonis,1
Lysobacter terrestris,1
Tessaracoccus defluvii,1
Croceimicrobium hydrocarbonivorans,1
Defluviicoccus vanus,1
Thermomonas sp. XSG,1
Roseicitreum antarcticum,1
Dissulfurispira thermophila,1
Mesoflavibacter profundi,1
Roseococcus microcysteis,1
Clavibacter zhangzhiyongii,1
Polaribacter haliotis,1
Lysobacter sp. CW239,1
Aminobacter sp. SR38,1
Variovorax sp. 38R,1
Bifidobacterium eulemuris,1
Bifidobacterium subtile,1
Devosia beringensis,1
Ruania alkalisoli,1
Cruoricaptor ignavus,1
Microbacterium sp. YJN-G,1
'''''''Parthenium hysterophorus'''' phyllody phytoplasma''',1
Humisphaera borealis,1
Lysobacter ciconiae,1
Lysobacter avium,1
Lysobacter sp. H23M47,1
Xanthomonas sp. WG16,1
'''''''Parthenium sp.'''' phyllody phytoplasma''',1
Kordiimonas pumila,1
Thermophilibacter immobilis,1
Lysobacter sp. H21R4,1
Paludibaculum fermentans,1
Microbacterium atlanticum,1
Microbacterium cremeum,1
Microbacterium luteum,1
Microbacterium sp. A18JL241,1
